sample
CZA003
CZA005
CZA008
CZA009
CZA012
CZA015
CZA017
CZA018
CZA019
CZA020
CZA021
CZA023
CZA024
CZA027
CZA028
CZA029
CZA031
CZA032
CZA033
CZA034
CZA036
CZA037
CZA041
CZA043
CZA044
CZA048
CZA050
CZA051
CZA057
CZA059
CZA061
CZA062
CZA063
CZA065
CZA066
CZA067
CZA068
CZA070
CZA073
CZA074
CZA076
CZA078
CZA080
CZA081
CZA083
CZA084
CZA085
CZA086
CZA090
CZA091
CZA095
CZA096
CZA098
CZA100
CZA101
CZA102
CZA103
CZA104
CZA107
CZA111
CZA113
CZA114
CZA115
CZA117
CZA118
CZA121
CZA122
CZA123
CZA126
CZA132
CZA133
CZA134
CZA135
CZA136
CZA137
CZA138
CZA139
CZA140
CZA141
CZA142
CZA145
CZA146
CZA147
CZA149
CZA150
CZA152
CZA159
CZA161
CZA162
CZA163
CZA166
CZA167
CZA168
CZA169
CZA170
CZA176
CZA177
CZA178
CZA179
CZA180
CZA181
CZA183
CZA184
CZA185
CZA186
CZA189
CZA192
CZA193
CZA195
CZA197
CZA200
CZA201
CZA206
CZA207
CZA208
CZA209
CZA210
CZA211
CZA212
CZA213
CZA215
CZA216
CZA217
CZA219
CZA221
CZA222
CZA223
CZA224
CZA227
CZA229
CZA230
CZA234
CZA236
CZA237
CZA238
CZA239
CZA241
CZA244
CZA245
CZA246
CZA250
CZA251
CZA253
CZA254
CZA256
CZA257
CZA259
CZA261
CZA262
CZA263
CZA265
CZA268
CZA270
CZA271
CZA272
CZA273
CZA276
CZA277
CZA278
CZA279
CZA281
CZA283
CZA286
CZA290
CZA292
CZA295
CZA297
CZA298
CZA299
CZA300
CZA303
CZA306
CZA307
CZA308
CZA309
CZA310
CZA311
CZA312
CZA314
CZA317
CZA318
CZA319
CZA320
CZA321
CZA322
CZA327
CZA329
CZA330
CZA332
CZA333
CZA334
CZA336
CZA338
CZA341
CZA342
CZA344
CZA346
CZA348
CZA350
CZA352
CZA353
CZA354
CZA356
CZA359
CZA363
CZA364
CZA366
CZA368
CZA370
CZA371
CZA372
CZA373
CZA374
CZA375
CZA378
CZA380
CZA381
CZA382
CZA384
CZA386
CZA388
CZA389
CZA394
CZA395
CZA396
CZA397
CZA399
CZA400
CZA402
CZA403
CZA405
CZA406
CZA407
CZA408
CZA410
CZA414
CZA415
CZA416
CZA417
CZA418
CZA419
CZA423
CZA424
CZA426
CZA427
CZA428
CZA429
CZA430
CZA431
CZA433
CZA434
CZA436
CZA438
CZA439
CZA440
CZA441
CZA442
CZA443
CZA445
CZA449
CZA450
CZA452
CZA455
CZA456
CZA457
CZA458
CZA459
CZA460
CZA461
CZA462
CZA463
CZA466
CZA467
CZA468
CZA470
CZA471
CZA472
CZA473
CZA474
CZA475
CZA478
CZA479
CZA482
CZA483
CZA484
CZA485
CZA486
CZA491
CZA492
CZA494
CZA495
CZA496
CZA497
CZA500
CZA501
CZA502
CZA503
CZA504
CZA505
CZA506
CZA507
CZA508
CZA509
CZA510
CZA511
CZA515
CZA517
CZA518
CZA519
CZA520
CZA521
CZA523
CZA524
CZA525
CZA527
CZA528
CZA530
CZA531
CZA533
CZA534
CZA537
CZA538
CZA542
CZA543
CZA544
CZA545
CZA546
CZA548
CZA549
CZA550
CZA551
CZA555
CZA559
CZA562
CZA564
CZA565
CZA566
CZA567
CZA568
CZA569
CZA571
CZA572
CZA573
CZA575
CZA577
CZA579
CZA580
CZA581
CZA582
CZA584
CZA585
CZA586
CZA588
CZA590
CZA593
CZA595
CZA596
CZA597
CZA600
CZA601
CZA602
CZA605
CZA606
CZA607
CZA608
CZA609
CZA610
CZA611
CZA613
CZA614
CZA615
CZA617
CZA620
CZA621
CZA622
CZA623
CZA624
CZB001
CZB002
CZB007
CZB008
CZB010
CZB011
CZB012
CZB015
CZB017
CZB018
CZB020
CZB024
CZB025
CZB027
CZB029
CZB030
CZB031
CZB033
CZB036
CZB037
CZB040
CZB042
CZB043
CZB044
