sample	unit	fq1	fq2
CZD180	161004_D00261_0367_ACA2LEANXX_6_SX-PE-072	CZD180_161004_D00261_0367_ACA2LEANXX_6_SX-PE-072_1.fastq.gz	CZD180_161004_D00261_0367_ACA2LEANXX_6_SX-PE-072_2.fastq.gz
CZD180	161122_D00261_0374_AC9U24ANXX_2_SX-PE-072	CZD180_161122_D00261_0374_AC9U24ANXX_2_SX-PE-072_1.fastq.gz	CZD180_161122_D00261_0374_AC9U24ANXX_2_SX-PE-072_2.fastq.gz
CZD181	161020_D00261_0369_AC9WREANXX_1_SX-PE-082	CZD181_161020_D00261_0369_AC9WREANXX_1_SX-PE-082_1.fastq.gz	CZD181_161020_D00261_0369_AC9WREANXX_1_SX-PE-082_2.fastq.gz
CZD183	161020_D00261_0369_AC9WREANXX_2_SX-PE-010	CZD183_161020_D00261_0369_AC9WREANXX_2_SX-PE-010_1.fastq.gz	CZD183_161020_D00261_0369_AC9WREANXX_2_SX-PE-010_2.fastq.gz
CZD184	161004_D00261_0367_ACA2LEANXX_6_SX-PE-013	CZD184_161004_D00261_0367_ACA2LEANXX_6_SX-PE-013_1.fastq.gz	CZD184_161004_D00261_0367_ACA2LEANXX_6_SX-PE-013_2.fastq.gz
CZD184	161122_D00261_0374_AC9U24ANXX_2_SX-PE-013	CZD184_161122_D00261_0374_AC9U24ANXX_2_SX-PE-013_1.fastq.gz	CZD184_161122_D00261_0374_AC9U24ANXX_2_SX-PE-013_2.fastq.gz
CZD185	161004_D00261_0367_ACA2LEANXX_6_SX-PE-062	CZD185_161004_D00261_0367_ACA2LEANXX_6_SX-PE-062_1.fastq.gz	CZD185_161004_D00261_0367_ACA2LEANXX_6_SX-PE-062_2.fastq.gz
CZD185	161122_D00261_0374_AC9U24ANXX_2_SX-PE-062	CZD185_161122_D00261_0374_AC9U24ANXX_2_SX-PE-062_1.fastq.gz	CZD185_161122_D00261_0374_AC9U24ANXX_2_SX-PE-062_2.fastq.gz
CZD186	161020_D00261_0369_AC9WREANXX_2_SX-PE-005	CZD186_161020_D00261_0369_AC9WREANXX_2_SX-PE-005_1.fastq.gz	CZD186_161020_D00261_0369_AC9WREANXX_2_SX-PE-005_2.fastq.gz
CZD187	161020_D00261_0369_AC9WREANXX_2_SX-PE-054	CZD187_161020_D00261_0369_AC9WREANXX_2_SX-PE-054_1.fastq.gz	CZD187_161020_D00261_0369_AC9WREANXX_2_SX-PE-054_2.fastq.gz
