sample	unit	fq1	fq2
CZA003	160329_D00248_0160_BC8TGVANXX_7_SX-PE-081	CZA003_160329_D00248_0160_BC8TGVANXX_7_SX-PE-081_1.fastq.gz	CZA003_160329_D00248_0160_BC8TGVANXX_7_SX-PE-081_2.fastq.gz
CZA005	160303_D00248_0155_AC6K7AANXX_6_SX-PE-008	CZA005_160303_D00248_0155_AC6K7AANXX_6_SX-PE-008_1.fastq.gz	CZA005_160303_D00248_0155_AC6K7AANXX_6_SX-PE-008_2.fastq.gz
CZA008	160329_D00248_0160_BC8TGVANXX_7_SX-PE-093	CZA008_160329_D00248_0160_BC8TGVANXX_7_SX-PE-093_1.fastq.gz	CZA008_160329_D00248_0160_BC8TGVANXX_7_SX-PE-093_2.fastq.gz
CZA009	160325_D00248_0159_AC8TGPANXX_7_SX-PE-062	CZA009_160325_D00248_0159_AC8TGPANXX_7_SX-PE-062_1.fastq.gz	CZA009_160325_D00248_0159_AC8TGPANXX_7_SX-PE-062_2.fastq.gz
CZA012	160329_D00248_0160_BC8TGVANXX_7_SX-PE-038	CZA012_160329_D00248_0160_BC8TGVANXX_7_SX-PE-038_1.fastq.gz	CZA012_160329_D00248_0160_BC8TGVANXX_7_SX-PE-038_2.fastq.gz
CZA015	160329_D00248_0160_BC8TGVANXX_7_SX-PE-005	CZA015_160329_D00248_0160_BC8TGVANXX_7_SX-PE-005_1.fastq.gz	CZA015_160329_D00248_0160_BC8TGVANXX_7_SX-PE-005_2.fastq.gz
CZA017	160325_D00248_0159_AC8TGPANXX_7_SX-PE-013	CZA017_160325_D00248_0159_AC8TGPANXX_7_SX-PE-013_1.fastq.gz	CZA017_160325_D00248_0159_AC8TGPANXX_7_SX-PE-013_2.fastq.gz
CZA018	160303_D00248_0155_AC6K7AANXX_6_SX-PE-049	CZA018_160303_D00248_0155_AC6K7AANXX_6_SX-PE-049_1.fastq.gz	CZA018_160303_D00248_0155_AC6K7AANXX_6_SX-PE-049_2.fastq.gz
CZA019	160329_D00248_0160_BC8TGVANXX_7_SX-PE-040	CZA019_160329_D00248_0160_BC8TGVANXX_7_SX-PE-040_1.fastq.gz	CZA019_160329_D00248_0160_BC8TGVANXX_7_SX-PE-040_2.fastq.gz
CZA020	160303_D00248_0155_AC6K7AANXX_6_SX-PE-060	CZA020_160303_D00248_0155_AC6K7AANXX_6_SX-PE-060_1.fastq.gz	CZA020_160303_D00248_0155_AC6K7AANXX_6_SX-PE-060_2.fastq.gz
CZA021	160303_D00248_0155_AC6K7AANXX_6_SX-PE-076	CZA021_160303_D00248_0155_AC6K7AANXX_6_SX-PE-076_1.fastq.gz	CZA021_160303_D00248_0155_AC6K7AANXX_6_SX-PE-076_2.fastq.gz
CZA023	160303_D00248_0155_AC6K7AANXX_6_SX-PE-091	CZA023_160303_D00248_0155_AC6K7AANXX_6_SX-PE-091_1.fastq.gz	CZA023_160303_D00248_0155_AC6K7AANXX_6_SX-PE-091_2.fastq.gz
CZA024	160329_D00248_0160_BC8TGVANXX_7_SX-PE-054	CZA024_160329_D00248_0160_BC8TGVANXX_7_SX-PE-054_1.fastq.gz	CZA024_160329_D00248_0160_BC8TGVANXX_7_SX-PE-054_2.fastq.gz
CZA027	160329_D00248_0160_BC8TGVANXX_8_SX-PE-070	CZA027_160329_D00248_0160_BC8TGVANXX_8_SX-PE-070_1.fastq.gz	CZA027_160329_D00248_0160_BC8TGVANXX_8_SX-PE-070_2.fastq.gz
CZA028	160329_D00248_0160_BC8TGVANXX_7_SX-PE-070	CZA028_160329_D00248_0160_BC8TGVANXX_7_SX-PE-070_1.fastq.gz	CZA028_160329_D00248_0160_BC8TGVANXX_7_SX-PE-070_2.fastq.gz
CZA029	160329_D00248_0160_BC8TGVANXX_7_SX-PE-092	CZA029_160329_D00248_0160_BC8TGVANXX_7_SX-PE-092_1.fastq.gz	CZA029_160329_D00248_0160_BC8TGVANXX_7_SX-PE-092_2.fastq.gz
CZA031	160325_D00248_0159_AC8TGPANXX_7_SX-PE-004	CZA031_160325_D00248_0159_AC8TGPANXX_7_SX-PE-004_1.fastq.gz	CZA031_160325_D00248_0159_AC8TGPANXX_7_SX-PE-004_2.fastq.gz
CZA032	160329_D00248_0160_BC8TGVANXX_7_SX-PE-030	CZA032_160329_D00248_0160_BC8TGVANXX_7_SX-PE-030_1.fastq.gz	CZA032_160329_D00248_0160_BC8TGVANXX_7_SX-PE-030_2.fastq.gz
CZA033	160329_D00248_0160_BC8TGVANXX_7_SX-PE-022	CZA033_160329_D00248_0160_BC8TGVANXX_7_SX-PE-022_1.fastq.gz	CZA033_160329_D00248_0160_BC8TGVANXX_7_SX-PE-022_2.fastq.gz
CZA034	160329_D00248_0160_BC8TGVANXX_7_SX-PE-091	CZA034_160329_D00248_0160_BC8TGVANXX_7_SX-PE-091_1.fastq.gz	CZA034_160329_D00248_0160_BC8TGVANXX_7_SX-PE-091_2.fastq.gz
CZA036	160303_D00248_0155_AC6K7AANXX_6_SX-PE-068	CZA036_160303_D00248_0155_AC6K7AANXX_6_SX-PE-068_1.fastq.gz	CZA036_160303_D00248_0155_AC6K7AANXX_6_SX-PE-068_2.fastq.gz
CZA037	160303_D00248_0155_AC6K7AANXX_6_SX-PE-001	CZA037_160303_D00248_0155_AC6K7AANXX_6_SX-PE-001_1.fastq.gz	CZA037_160303_D00248_0155_AC6K7AANXX_6_SX-PE-001_2.fastq.gz
CZA041	160303_D00248_0155_AC6K7AANXX_6_SX-PE-020	CZA041_160303_D00248_0155_AC6K7AANXX_6_SX-PE-020_1.fastq.gz	CZA041_160303_D00248_0155_AC6K7AANXX_6_SX-PE-020_2.fastq.gz
CZA043	160329_D00248_0160_BC8TGVANXX_7_SX-PE-042	CZA043_160329_D00248_0160_BC8TGVANXX_7_SX-PE-042_1.fastq.gz	CZA043_160329_D00248_0160_BC8TGVANXX_7_SX-PE-042_2.fastq.gz
CZA044	160325_D00248_0159_AC8TGPANXX_7_SX-PE-002	CZA044_160325_D00248_0159_AC8TGPANXX_7_SX-PE-002_1.fastq.gz	CZA044_160325_D00248_0159_AC8TGPANXX_7_SX-PE-002_2.fastq.gz
CZA048	160329_D00248_0160_BC8TGVANXX_8_SX-PE-038	CZA048_160329_D00248_0160_BC8TGVANXX_8_SX-PE-038_1.fastq.gz	CZA048_160329_D00248_0160_BC8TGVANXX_8_SX-PE-038_2.fastq.gz
CZA050	160329_D00248_0160_BC8TGVANXX_7_SX-PE-088	CZA050_160329_D00248_0160_BC8TGVANXX_7_SX-PE-088_1.fastq.gz	CZA050_160329_D00248_0160_BC8TGVANXX_7_SX-PE-088_2.fastq.gz
CZA051	160303_D00248_0155_AC6K7AANXX_6_SX-PE-019	CZA051_160303_D00248_0155_AC6K7AANXX_6_SX-PE-019_1.fastq.gz	CZA051_160303_D00248_0155_AC6K7AANXX_6_SX-PE-019_2.fastq.gz
CZA057	160303_D00248_0155_AC6K7AANXX_6_SX-PE-040	CZA057_160303_D00248_0155_AC6K7AANXX_6_SX-PE-040_1.fastq.gz	CZA057_160303_D00248_0155_AC6K7AANXX_6_SX-PE-040_2.fastq.gz
CZA059	160329_D00248_0160_BC8TGVANXX_8_SX-PE-088	CZA059_160329_D00248_0160_BC8TGVANXX_8_SX-PE-088_1.fastq.gz	CZA059_160329_D00248_0160_BC8TGVANXX_8_SX-PE-088_2.fastq.gz
CZA061	160329_D00248_0160_BC8TGVANXX_8_SX-PE-010	CZA061_160329_D00248_0160_BC8TGVANXX_8_SX-PE-010_1.fastq.gz	CZA061_160329_D00248_0160_BC8TGVANXX_8_SX-PE-010_2.fastq.gz
CZA062	160325_D00248_0159_AC8TGPANXX_7_SX-PE-007	CZA062_160325_D00248_0159_AC8TGPANXX_7_SX-PE-007_1.fastq.gz	CZA062_160325_D00248_0159_AC8TGPANXX_7_SX-PE-007_2.fastq.gz
CZA063	160303_D00248_0155_AC6K7AANXX_6_SX-PE-088	CZA063_160303_D00248_0155_AC6K7AANXX_6_SX-PE-088_1.fastq.gz	CZA063_160303_D00248_0155_AC6K7AANXX_6_SX-PE-088_2.fastq.gz
CZA065	160329_D00248_0160_BC8TGVANXX_7_SX-PE-062	CZA065_160329_D00248_0160_BC8TGVANXX_7_SX-PE-062_1.fastq.gz	CZA065_160329_D00248_0160_BC8TGVANXX_7_SX-PE-062_2.fastq.gz
CZA066	160325_D00248_0159_AC8TGPANXX_7_SX-PE-080	CZA066_160325_D00248_0159_AC8TGPANXX_7_SX-PE-080_1.fastq.gz	CZA066_160325_D00248_0159_AC8TGPANXX_7_SX-PE-080_2.fastq.gz
CZA067	160329_D00248_0160_BC8TGVANXX_7_SX-PE-051	CZA067_160329_D00248_0160_BC8TGVANXX_7_SX-PE-051_1.fastq.gz	CZA067_160329_D00248_0160_BC8TGVANXX_7_SX-PE-051_2.fastq.gz
CZA068	160325_D00248_0159_AC8TGPANXX_7_SX-PE-028	CZA068_160325_D00248_0159_AC8TGPANXX_7_SX-PE-028_1.fastq.gz	CZA068_160325_D00248_0159_AC8TGPANXX_7_SX-PE-028_2.fastq.gz
CZA070	160329_D00248_0160_BC8TGVANXX_8_SX-PE-086	CZA070_160329_D00248_0160_BC8TGVANXX_8_SX-PE-086_1.fastq.gz	CZA070_160329_D00248_0160_BC8TGVANXX_8_SX-PE-086_2.fastq.gz
CZA073	160303_D00248_0155_AC6K7AANXX_6_SX-PE-023	CZA073_160303_D00248_0155_AC6K7AANXX_6_SX-PE-023_1.fastq.gz	CZA073_160303_D00248_0155_AC6K7AANXX_6_SX-PE-023_2.fastq.gz
CZA074	160325_D00248_0159_AC8TGPANXX_7_SX-PE-024	CZA074_160325_D00248_0159_AC8TGPANXX_7_SX-PE-024_1.fastq.gz	CZA074_160325_D00248_0159_AC8TGPANXX_7_SX-PE-024_2.fastq.gz
CZA076	160325_D00248_0159_AC8TGPANXX_7_SX-PE-076	CZA076_160325_D00248_0159_AC8TGPANXX_7_SX-PE-076_1.fastq.gz	CZA076_160325_D00248_0159_AC8TGPANXX_7_SX-PE-076_2.fastq.gz
CZA078	160325_D00248_0159_AC8TGPANXX_7_SX-PE-011	CZA078_160325_D00248_0159_AC8TGPANXX_7_SX-PE-011_1.fastq.gz	CZA078_160325_D00248_0159_AC8TGPANXX_7_SX-PE-011_2.fastq.gz
CZA080	160329_D00248_0160_BC8TGVANXX_8_SX-PE-046	CZA080_160329_D00248_0160_BC8TGVANXX_8_SX-PE-046_1.fastq.gz	CZA080_160329_D00248_0160_BC8TGVANXX_8_SX-PE-046_2.fastq.gz
CZA081	160325_D00248_0159_AC8TGPANXX_7_SX-PE-085	CZA081_160325_D00248_0159_AC8TGPANXX_7_SX-PE-085_1.fastq.gz	CZA081_160325_D00248_0159_AC8TGPANXX_7_SX-PE-085_2.fastq.gz
CZA083	160325_D00248_0159_AC8TGPANXX_7_SX-PE-001	CZA083_160325_D00248_0159_AC8TGPANXX_7_SX-PE-001_1.fastq.gz	CZA083_160325_D00248_0159_AC8TGPANXX_7_SX-PE-001_2.fastq.gz
CZA084	160303_D00248_0155_AC6K7AANXX_6_SX-PE-062	CZA084_160303_D00248_0155_AC6K7AANXX_6_SX-PE-062_1.fastq.gz	CZA084_160303_D00248_0155_AC6K7AANXX_6_SX-PE-062_2.fastq.gz
CZA085	160329_D00248_0160_BC8TGVANXX_8_SX-PE-083	CZA085_160329_D00248_0160_BC8TGVANXX_8_SX-PE-083_1.fastq.gz	CZA085_160329_D00248_0160_BC8TGVANXX_8_SX-PE-083_2.fastq.gz
CZA086	160329_D00248_0160_BC8TGVANXX_8_SX-PE-033	CZA086_160329_D00248_0160_BC8TGVANXX_8_SX-PE-033_1.fastq.gz	CZA086_160329_D00248_0160_BC8TGVANXX_8_SX-PE-033_2.fastq.gz
CZA090	160329_D00248_0160_BC8TGVANXX_7_SX-PE-058	CZA090_160329_D00248_0160_BC8TGVANXX_7_SX-PE-058_1.fastq.gz	CZA090_160329_D00248_0160_BC8TGVANXX_7_SX-PE-058_2.fastq.gz
CZA091	160329_D00248_0160_BC8TGVANXX_8_SX-PE-034	CZA091_160329_D00248_0160_BC8TGVANXX_8_SX-PE-034_1.fastq.gz	CZA091_160329_D00248_0160_BC8TGVANXX_8_SX-PE-034_2.fastq.gz
CZA095	160303_D00248_0155_AC6K7AANXX_6_SX-PE-027	CZA095_160303_D00248_0155_AC6K7AANXX_6_SX-PE-027_1.fastq.gz	CZA095_160303_D00248_0155_AC6K7AANXX_6_SX-PE-027_2.fastq.gz
CZA096	160329_D00248_0160_BC8TGVANXX_7_SX-PE-052	CZA096_160329_D00248_0160_BC8TGVANXX_7_SX-PE-052_1.fastq.gz	CZA096_160329_D00248_0160_BC8TGVANXX_7_SX-PE-052_2.fastq.gz
CZA098	160329_D00248_0160_BC8TGVANXX_7_SX-PE-061	CZA098_160329_D00248_0160_BC8TGVANXX_7_SX-PE-061_1.fastq.gz	CZA098_160329_D00248_0160_BC8TGVANXX_7_SX-PE-061_2.fastq.gz
CZA100	160325_D00248_0159_AC8TGPANXX_7_SX-PE-066	CZA100_160325_D00248_0159_AC8TGPANXX_7_SX-PE-066_1.fastq.gz	CZA100_160325_D00248_0159_AC8TGPANXX_7_SX-PE-066_2.fastq.gz
CZA101	160329_D00248_0160_BC8TGVANXX_8_SX-PE-045	CZA101_160329_D00248_0160_BC8TGVANXX_8_SX-PE-045_1.fastq.gz	CZA101_160329_D00248_0160_BC8TGVANXX_8_SX-PE-045_2.fastq.gz
CZA102	160303_D00248_0155_AC6K7AANXX_6_SX-PE-015	CZA102_160303_D00248_0155_AC6K7AANXX_6_SX-PE-015_1.fastq.gz	CZA102_160303_D00248_0155_AC6K7AANXX_6_SX-PE-015_2.fastq.gz
CZA103	160303_D00248_0155_AC6K7AANXX_6_SX-PE-032	CZA103_160303_D00248_0155_AC6K7AANXX_6_SX-PE-032_1.fastq.gz	CZA103_160303_D00248_0155_AC6K7AANXX_6_SX-PE-032_2.fastq.gz
CZA104	160303_D00248_0155_AC6K7AANXX_6_SX-PE-081	CZA104_160303_D00248_0155_AC6K7AANXX_6_SX-PE-081_1.fastq.gz	CZA104_160303_D00248_0155_AC6K7AANXX_6_SX-PE-081_2.fastq.gz
CZA107	160329_D00248_0160_BC8TGVANXX_7_SX-PE-016	CZA107_160329_D00248_0160_BC8TGVANXX_7_SX-PE-016_1.fastq.gz	CZA107_160329_D00248_0160_BC8TGVANXX_7_SX-PE-016_2.fastq.gz
CZA111	160329_D00248_0160_BC8TGVANXX_8_SX-PE-019	CZA111_160329_D00248_0160_BC8TGVANXX_8_SX-PE-019_1.fastq.gz	CZA111_160329_D00248_0160_BC8TGVANXX_8_SX-PE-019_2.fastq.gz
CZA113	160329_D00248_0160_BC8TGVANXX_7_SX-PE-066	CZA113_160329_D00248_0160_BC8TGVANXX_7_SX-PE-066_1.fastq.gz	CZA113_160329_D00248_0160_BC8TGVANXX_7_SX-PE-066_2.fastq.gz
CZA114	160325_D00248_0159_AC8TGPANXX_7_SX-PE-027	CZA114_160325_D00248_0159_AC8TGPANXX_7_SX-PE-027_1.fastq.gz	CZA114_160325_D00248_0159_AC8TGPANXX_7_SX-PE-027_2.fastq.gz
CZA115	160329_D00248_0160_BC8TGVANXX_7_SX-PE-089	CZA115_160329_D00248_0160_BC8TGVANXX_7_SX-PE-089_1.fastq.gz	CZA115_160329_D00248_0160_BC8TGVANXX_7_SX-PE-089_2.fastq.gz
CZA117	160329_D00248_0160_BC8TGVANXX_7_SX-PE-017	CZA117_160329_D00248_0160_BC8TGVANXX_7_SX-PE-017_1.fastq.gz	CZA117_160329_D00248_0160_BC8TGVANXX_7_SX-PE-017_2.fastq.gz
CZA118	160303_D00248_0155_AC6K7AANXX_6_SX-PE-063	CZA118_160303_D00248_0155_AC6K7AANXX_6_SX-PE-063_1.fastq.gz	CZA118_160303_D00248_0155_AC6K7AANXX_6_SX-PE-063_2.fastq.gz
CZA121	160325_D00248_0159_AC8TGPANXX_7_SX-PE-038	CZA121_160325_D00248_0159_AC8TGPANXX_7_SX-PE-038_1.fastq.gz	CZA121_160325_D00248_0159_AC8TGPANXX_7_SX-PE-038_2.fastq.gz
CZA122	160329_D00248_0160_BC8TGVANXX_7_SX-PE-053	CZA122_160329_D00248_0160_BC8TGVANXX_7_SX-PE-053_1.fastq.gz	CZA122_160329_D00248_0160_BC8TGVANXX_7_SX-PE-053_2.fastq.gz
CZA123	160329_D00248_0160_BC8TGVANXX_7_SX-PE-075	CZA123_160329_D00248_0160_BC8TGVANXX_7_SX-PE-075_1.fastq.gz	CZA123_160329_D00248_0160_BC8TGVANXX_7_SX-PE-075_2.fastq.gz
CZA126	160303_D00248_0155_AC6K7AANXX_6_SX-PE-077	CZA126_160303_D00248_0155_AC6K7AANXX_6_SX-PE-077_1.fastq.gz	CZA126_160303_D00248_0155_AC6K7AANXX_6_SX-PE-077_2.fastq.gz
CZA132	160329_D00248_0160_BC8TGVANXX_7_SX-PE-004	CZA132_160329_D00248_0160_BC8TGVANXX_7_SX-PE-004_1.fastq.gz	CZA132_160329_D00248_0160_BC8TGVANXX_7_SX-PE-004_2.fastq.gz
CZA133	160303_D00248_0155_AC6K7AANXX_6_SX-PE-006	CZA133_160303_D00248_0155_AC6K7AANXX_6_SX-PE-006_1.fastq.gz	CZA133_160303_D00248_0155_AC6K7AANXX_6_SX-PE-006_2.fastq.gz
CZA134	160303_D00248_0155_AC6K7AANXX_6_SX-PE-095	CZA134_160303_D00248_0155_AC6K7AANXX_6_SX-PE-095_1.fastq.gz	CZA134_160303_D00248_0155_AC6K7AANXX_6_SX-PE-095_2.fastq.gz
CZA135	160303_D00248_0155_AC6K7AANXX_6_SX-PE-053	CZA135_160303_D00248_0155_AC6K7AANXX_6_SX-PE-053_1.fastq.gz	CZA135_160303_D00248_0155_AC6K7AANXX_6_SX-PE-053_2.fastq.gz
CZA136	160329_D00248_0160_BC8TGVANXX_8_SX-PE-072	CZA136_160329_D00248_0160_BC8TGVANXX_8_SX-PE-072_1.fastq.gz	CZA136_160329_D00248_0160_BC8TGVANXX_8_SX-PE-072_2.fastq.gz
CZA137	160329_D00248_0160_BC8TGVANXX_8_SX-PE-060	CZA137_160329_D00248_0160_BC8TGVANXX_8_SX-PE-060_1.fastq.gz	CZA137_160329_D00248_0160_BC8TGVANXX_8_SX-PE-060_2.fastq.gz
CZA138	160329_D00248_0160_BC8TGVANXX_7_SX-PE-048	CZA138_160329_D00248_0160_BC8TGVANXX_7_SX-PE-048_1.fastq.gz	CZA138_160329_D00248_0160_BC8TGVANXX_7_SX-PE-048_2.fastq.gz
CZA139	160329_D00248_0160_BC8TGVANXX_8_SX-PE-089	CZA139_160329_D00248_0160_BC8TGVANXX_8_SX-PE-089_1.fastq.gz	CZA139_160329_D00248_0160_BC8TGVANXX_8_SX-PE-089_2.fastq.gz
CZA140	160329_D00248_0160_BC8TGVANXX_7_SX-PE-013	CZA140_160329_D00248_0160_BC8TGVANXX_7_SX-PE-013_1.fastq.gz	CZA140_160329_D00248_0160_BC8TGVANXX_7_SX-PE-013_2.fastq.gz
CZA141	160325_D00248_0159_AC8TGPANXX_7_SX-PE-053	CZA141_160325_D00248_0159_AC8TGPANXX_7_SX-PE-053_1.fastq.gz	CZA141_160325_D00248_0159_AC8TGPANXX_7_SX-PE-053_2.fastq.gz
CZA142	160329_D00248_0160_BC8TGVANXX_8_SX-PE-062	CZA142_160329_D00248_0160_BC8TGVANXX_8_SX-PE-062_1.fastq.gz	CZA142_160329_D00248_0160_BC8TGVANXX_8_SX-PE-062_2.fastq.gz
CZA145	160303_D00248_0155_AC6K7AANXX_6_SX-PE-010	CZA145_160303_D00248_0155_AC6K7AANXX_6_SX-PE-010_1.fastq.gz	CZA145_160303_D00248_0155_AC6K7AANXX_6_SX-PE-010_2.fastq.gz
CZA146	160325_D00248_0159_AC8TGPANXX_7_SX-PE-074	CZA146_160325_D00248_0159_AC8TGPANXX_7_SX-PE-074_1.fastq.gz	CZA146_160325_D00248_0159_AC8TGPANXX_7_SX-PE-074_2.fastq.gz
CZA147	160329_D00248_0160_BC8TGVANXX_8_SX-PE-003	CZA147_160329_D00248_0160_BC8TGVANXX_8_SX-PE-003_1.fastq.gz	CZA147_160329_D00248_0160_BC8TGVANXX_8_SX-PE-003_2.fastq.gz
CZA149	160303_D00248_0155_AC6K7AANXX_6_SX-PE-003	CZA149_160303_D00248_0155_AC6K7AANXX_6_SX-PE-003_1.fastq.gz	CZA149_160303_D00248_0155_AC6K7AANXX_6_SX-PE-003_2.fastq.gz
CZA150	160325_D00248_0159_AC8TGPANXX_7_SX-PE-056	CZA150_160325_D00248_0159_AC8TGPANXX_7_SX-PE-056_1.fastq.gz	CZA150_160325_D00248_0159_AC8TGPANXX_7_SX-PE-056_2.fastq.gz
CZA152	160325_D00248_0159_AC8TGPANXX_7_SX-PE-010	CZA152_160325_D00248_0159_AC8TGPANXX_7_SX-PE-010_1.fastq.gz	CZA152_160325_D00248_0159_AC8TGPANXX_7_SX-PE-010_2.fastq.gz
CZA159	160329_D00248_0160_BC8TGVANXX_7_SX-PE-031	CZA159_160329_D00248_0160_BC8TGVANXX_7_SX-PE-031_1.fastq.gz	CZA159_160329_D00248_0160_BC8TGVANXX_7_SX-PE-031_2.fastq.gz
CZA161	160303_D00248_0155_AC6K7AANXX_6_SX-PE-050	CZA161_160303_D00248_0155_AC6K7AANXX_6_SX-PE-050_1.fastq.gz	CZA161_160303_D00248_0155_AC6K7AANXX_6_SX-PE-050_2.fastq.gz
CZA162	160329_D00248_0160_BC8TGVANXX_7_SX-PE-071	CZA162_160329_D00248_0160_BC8TGVANXX_7_SX-PE-071_1.fastq.gz	CZA162_160329_D00248_0160_BC8TGVANXX_7_SX-PE-071_2.fastq.gz
CZA163	160325_D00248_0159_AC8TGPANXX_7_SX-PE-065	CZA163_160325_D00248_0159_AC8TGPANXX_7_SX-PE-065_1.fastq.gz	CZA163_160325_D00248_0159_AC8TGPANXX_7_SX-PE-065_2.fastq.gz
CZA166	160325_D00248_0159_AC8TGPANXX_7_SX-PE-057	CZA166_160325_D00248_0159_AC8TGPANXX_7_SX-PE-057_1.fastq.gz	CZA166_160325_D00248_0159_AC8TGPANXX_7_SX-PE-057_2.fastq.gz
CZA167	160325_D00248_0159_AC8TGPANXX_7_SX-PE-052	CZA167_160325_D00248_0159_AC8TGPANXX_7_SX-PE-052_1.fastq.gz	CZA167_160325_D00248_0159_AC8TGPANXX_7_SX-PE-052_2.fastq.gz
CZA168	160325_D00248_0159_AC8TGPANXX_7_SX-PE-072	CZA168_160325_D00248_0159_AC8TGPANXX_7_SX-PE-072_1.fastq.gz	CZA168_160325_D00248_0159_AC8TGPANXX_7_SX-PE-072_2.fastq.gz
CZA169	160303_D00248_0155_AC6K7AANXX_6_SX-PE-034	CZA169_160303_D00248_0155_AC6K7AANXX_6_SX-PE-034_1.fastq.gz	CZA169_160303_D00248_0155_AC6K7AANXX_6_SX-PE-034_2.fastq.gz
CZA170	160303_D00248_0155_AC6K7AANXX_6_SX-PE-046	CZA170_160303_D00248_0155_AC6K7AANXX_6_SX-PE-046_1.fastq.gz	CZA170_160303_D00248_0155_AC6K7AANXX_6_SX-PE-046_2.fastq.gz
CZA176	160329_D00248_0160_BC8TGVANXX_8_SX-PE-036	CZA176_160329_D00248_0160_BC8TGVANXX_8_SX-PE-036_1.fastq.gz	CZA176_160329_D00248_0160_BC8TGVANXX_8_SX-PE-036_2.fastq.gz
CZA177	160329_D00248_0160_BC8TGVANXX_7_SX-PE-008	CZA177_160329_D00248_0160_BC8TGVANXX_7_SX-PE-008_1.fastq.gz	CZA177_160329_D00248_0160_BC8TGVANXX_7_SX-PE-008_2.fastq.gz
CZA178	160329_D00248_0160_BC8TGVANXX_8_SX-PE-082	CZA178_160329_D00248_0160_BC8TGVANXX_8_SX-PE-082_1.fastq.gz	CZA178_160329_D00248_0160_BC8TGVANXX_8_SX-PE-082_2.fastq.gz
CZA179	160303_D00248_0155_AC6K7AANXX_6_SX-PE-089	CZA179_160303_D00248_0155_AC6K7AANXX_6_SX-PE-089_1.fastq.gz	CZA179_160303_D00248_0155_AC6K7AANXX_6_SX-PE-089_2.fastq.gz
CZA180	160303_D00248_0155_AC6K7AANXX_6_SX-PE-071	CZA180_160303_D00248_0155_AC6K7AANXX_6_SX-PE-071_1.fastq.gz	CZA180_160303_D00248_0155_AC6K7AANXX_6_SX-PE-071_2.fastq.gz
CZA181	160325_D00248_0159_AC8TGPANXX_7_SX-PE-030	CZA181_160325_D00248_0159_AC8TGPANXX_7_SX-PE-030_1.fastq.gz	CZA181_160325_D00248_0159_AC8TGPANXX_7_SX-PE-030_2.fastq.gz
CZA183	160303_D00248_0155_AC6K7AANXX_6_SX-PE-054	CZA183_160303_D00248_0155_AC6K7AANXX_6_SX-PE-054_1.fastq.gz	CZA183_160303_D00248_0155_AC6K7AANXX_6_SX-PE-054_2.fastq.gz
CZA184	160303_D00248_0155_AC6K7AANXX_6_SX-PE-072	CZA184_160303_D00248_0155_AC6K7AANXX_6_SX-PE-072_1.fastq.gz	CZA184_160303_D00248_0155_AC6K7AANXX_6_SX-PE-072_2.fastq.gz
CZA185	160325_D00248_0159_AC8TGPANXX_7_SX-PE-036	CZA185_160325_D00248_0159_AC8TGPANXX_7_SX-PE-036_1.fastq.gz	CZA185_160325_D00248_0159_AC8TGPANXX_7_SX-PE-036_2.fastq.gz
CZA186	160329_D00248_0160_BC8TGVANXX_8_SX-PE-024	CZA186_160329_D00248_0160_BC8TGVANXX_8_SX-PE-024_1.fastq.gz	CZA186_160329_D00248_0160_BC8TGVANXX_8_SX-PE-024_2.fastq.gz
CZA189	160329_D00248_0160_BC8TGVANXX_8_SX-PE-014	CZA189_160329_D00248_0160_BC8TGVANXX_8_SX-PE-014_1.fastq.gz	CZA189_160329_D00248_0160_BC8TGVANXX_8_SX-PE-014_2.fastq.gz
CZA192	160329_D00248_0160_BC8TGVANXX_7_SX-PE-010	CZA192_160329_D00248_0160_BC8TGVANXX_7_SX-PE-010_1.fastq.gz	CZA192_160329_D00248_0160_BC8TGVANXX_7_SX-PE-010_2.fastq.gz
CZA193	160329_D00248_0160_BC8TGVANXX_7_SX-PE-020	CZA193_160329_D00248_0160_BC8TGVANXX_7_SX-PE-020_1.fastq.gz	CZA193_160329_D00248_0160_BC8TGVANXX_7_SX-PE-020_2.fastq.gz
CZA195	160329_D00248_0160_BC8TGVANXX_8_SX-PE-032	CZA195_160329_D00248_0160_BC8TGVANXX_8_SX-PE-032_1.fastq.gz	CZA195_160329_D00248_0160_BC8TGVANXX_8_SX-PE-032_2.fastq.gz
CZA197	160303_D00248_0155_AC6K7AANXX_6_SX-PE-048	CZA197_160303_D00248_0155_AC6K7AANXX_6_SX-PE-048_1.fastq.gz	CZA197_160303_D00248_0155_AC6K7AANXX_6_SX-PE-048_2.fastq.gz
CZA200	160325_D00248_0159_AC8TGPANXX_7_SX-PE-061	CZA200_160325_D00248_0159_AC8TGPANXX_7_SX-PE-061_1.fastq.gz	CZA200_160325_D00248_0159_AC8TGPANXX_7_SX-PE-061_2.fastq.gz
CZA201	160329_D00248_0160_BC8TGVANXX_7_SX-PE-059	CZA201_160329_D00248_0160_BC8TGVANXX_7_SX-PE-059_1.fastq.gz	CZA201_160329_D00248_0160_BC8TGVANXX_7_SX-PE-059_2.fastq.gz
CZA206	160329_D00248_0160_BC8TGVANXX_8_SX-PE-023	CZA206_160329_D00248_0160_BC8TGVANXX_8_SX-PE-023_1.fastq.gz	CZA206_160329_D00248_0160_BC8TGVANXX_8_SX-PE-023_2.fastq.gz
