"","snail_ID","LCmeanDist"
"1","CZA533",362.47285160096
"2","CZA532",361.715220737416
"3","CZA534",361.612384141878
"4","CZA531",360.852834223004
"5","CZA530",359.990237518312
"6","CZA529",359.275638974213
"7","CZA528",358.561040430113
"8","CZA523",358.203741158064
"9","CZA524",357.239517720311
"10","CZA525",356.525208845693
"11","CZA526",355.554858283402
"12","CZA527",354.587716118121
"13","CZA522",349.686669130059
"14","CZA521",349.30864138078
"15","CZA519",348.360552388714
"16","CZA518",347.540836032512
"17","CZA520",347.252903057553
"18","CZA515",346.530661547787
"19","CZA517",346.281781855465
"20","CZA516",345.394545564882
"21","CZA514",344.805888518963
"22","CZA512",343.136673289051
"23","CZA513",343.136673289051
"24","CZA511",342.480386698406
"25","CZA510",341.799706372251
"26","CZA597",72.131218998281
"27","CZA601",21.8542126916022
"28","CZA602",20.9835270410304
"29","CZA603",20.8438280165977
"30","CZA604",19.9699772586429
"31","CZA607",18.2138290331251
"32","CZA606",17.979242114686
"33","CZA605",17.9096506650468
"34","CZA608",16.8885641457472
"35","CZA609",15.6684579787258
"36","CZA610",14.404688921421
"37","CZA613",13.6651917130414
"38","CZA614",13.4646688794752
"39","CZA612",13.0111232257323
"40","CZA611",12.9318289429385
"41","CZA621",12.2977705800788
"42","CZA622",12.2006842042995
"43","CZA615",11.9041285462009
"44","CZA624",11.8162682365057
"45","CZA625",11.8162682365057
"46","CZA620",11.3879825355575
"47","CZA616",11.3107606135837
"48","CZA623",11.3107606135837
"49","CZA617",10.8006628710235
"50","CZA618",10.6813707825588
"51","CZA619",10.1951999071511
